Pos1	Pos2	Freq	Stretch	meandist
7961	7964	0.2462006079027356	0	0.2462006079027356
7964	7961	0.2462006079027356	0	0.2462006079027356
12728	12823	0.004705882352941176	1	0.012244737560433035
12823	12728	0.004705882352941176	1	0.012244737560433035
12729	12823	0.005923000987166831	1	0.012244737560433035
12823	12729	0.005923000987166831	1	0.012244737560433035
12697	12773	0.00677659814772984	1	0.012244737560433035
12773	12697	0.00677659814772984	1	0.012244737560433035
12823	12889	0.007017543859649123	1	0.012244737560433035
12889	12823	0.007017543859649123	1	0.012244737560433035
12727	12823	0.0073949579831932765	1	0.012244737560433035
12823	12727	0.0073949579831932765	1	0.012244737560433035
12846	12889	0.00784367689555525	1	0.012244737560433035
12889	12846	0.00784367689555525	1	0.012244737560433035
12697	12763	0.00790242226421577	1	0.012244737560433035
12763	12697	0.00790242226421577	1	0.012244737560433035
12697	12774	0.007914970601537766	1	0.012244737560433035
12774	12697	0.007914970601537766	1	0.012244737560433035
12754	12846	0.008092485549132947	1	0.012244737560433035
12846	12754	0.008092485549132947	1	0.012244737560433035
12846	12877	0.008555365436323637	1	0.012244737560433035
12877	12846	0.008555365436323637	1	0.012244737560433035
12728	12773	0.0086164451009355	1	0.012244737560433035
12773	12728	0.0086164451009355	1	0.012244737560433035
12729	12773	0.008898098488542174	1	0.012244737560433035
12773	12729	0.008898098488542174	1	0.012244737560433035
12732	12823	0.008907363420427555	1	0.012244737560433035
12823	12732	0.008907363420427555	1	0.012244737560433035
12823	12877	0.008928571428571428	1	0.012244737560433035
12877	12823	0.008928571428571428	1	0.012244737560433035
12877	12889	0.01068734283319363	1	0.012244737560433035
12889	12877	0.01068734283319363	1	0.012244737560433035
12728	12763	0.009233610341643585	1	0.012244737560433035
12763	12728	0.009233610341643585	1	0.012244737560433035
12728	12774	0.00948860135551448	1	0.012244737560433035
12774	12728	0.00948860135551448	1	0.012244737560433035
12729	12763	0.009564509564509565	1	0.012244737560433035
12763	12729	0.009564509564509565	1	0.012244737560433035
12727	12773	0.009970457902511078	1	0.012244737560433035
12773	12727	0.009970457902511078	1	0.012244737560433035
12723	12823	0.010195758564437194	1	0.012244737560433035
12823	12723	0.010195758564437194	1	0.012244737560433035
12729	12774	0.010250152532031726	1	0.012244737560433035
12774	12729	0.010250152532031726	1	0.012244737560433035
12727	12763	0.01067104453108968	1	0.012244737560433035
12763	12727	0.01067104453108968	1	0.012244737560433035
12697	12728	0.010915994304698624	1	0.012244737560433035
